playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2,playlist_followers
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-10-01,2021-02-06 04:05:06,Charts,47,2,9,5509.28021729289,1308.28429153463,0.350978815942531,0.739306546278599,0.932133561622703,[[0.15761475]],[[0.33695921]],767571
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-10-08,2021-02-04 05:23:15,Charts,49,3,10,3802.58225739275,1353.60266555602,0.482506336075011,0.829256553498371,0.923588173459445,[[0.23092727]],[[0.34492201]],768454
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-10-15,2021-01-18 22:02:26,Charts,49,3,8,3386.08912952936,1420.24156601416,0.4919875261311,0.753888155384317,0.952843579028513,[[0.24224488]],[[0.34012151]],769328
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-10-22,2021-03-03 21:33:03,Charts,49,2,7,5351.93669304456,1903.37359433569,0.386203874459873,0.758865831407333,0.977815800670533,[[0.17951001]],[[0.33175893]],770197
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-10-29,2021-03-06 04:35:44,Charts,47,3,5,3707.55998189226,2258.94069714803,0.496519016764961,0.644281493908798,0.949384477331132,[[0.23225438]],[[0.29414337]],771245
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-11-05,2021-02-26 04:05:06,Charts,47,4,7,3091.89678587596,1733.81620642825,0.583707137486781,0.736918977640509,0.96208124070545,[[0.26528662]],[[0.3247341]],772060
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-11-12,2021-07-11 00:30:00,Charts,48,2,4,5425.34722222222,2925.34722222222,0.322144688688549,0.531216745247475,0.876930959966412,[[0.14737001]],[[0.24985517]],773147
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-11-19,2021-07-22 17:00:00,Charts,48,3,8,3654.51388888889,1657.98611111111,0.421240492758522,0.748603900858975,0.877378428310467,[[0.1896283]],[[0.29025036]],775920
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-11-26,2021-08-14 09:30:00,Charts,48,2,8,6250.0,1545.13888888889,0.363336582370303,0.766977673281557,0.914219460654804,[[0.13625122]],[[0.32254481]],777060
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2021-12-03,2021-09-01 16:00:00,Charts,48,2,9,5138.88888888889,1354.16666666667,0.325818589575841,0.772299077213191,0.910703422035061,[[0.15838404]],[[0.33863733]],777901
